7896727918963;COD_LST;COD_NBS;ID_ESTOQUE;DESCRICAO;UNI_MEDIDA;PRC_CUSTO;PRC_VENDA;UTL_VENDA;MARGEM_LB;POR_COMISSAO;ULT_FORNEC;NOME;ID_TIPOITEM;TIPO_ITEM;ADICIONAL1;ADICIONAL2;ID_INDEXADOR;INDEXADOR;ID_GRUPO;GRUPO;DESC_CMPL;COD_BARRA;REFERENCIA;PRC_MEDIO;QTD_ATUAL;QTD_MINIM;QTD_INICIO;ULT_COMPRA;PESO;IPI;CF;CST;CST_IPI;CST_PIS;CST_COFINS;PIS;COFINS;IAT;IPPT;COD_NCM;CSOSN;MVA;ID_NIVEL1;NIVEL1;ID_NIVEL2;NIVEL2;TAXA_ICMS;GRADE_SERIE;ISS_ALIQ;ANP;FCI;PRC_ATACADO;CFOP_NF;CFOP_CF;COD_CEST;CENQ;OBSERVACAO
4438;;;4438;ESMALTE BLANKA BUZIOS;UN;6,55;8,9;08/11/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752842;5014;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4439;;;4439;ESMALTE BLANKA CAMILA;UN;6,55;8,9;19/08/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752514;7486;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4440;;;4440;ESMALTE BLANKA CHUCHU;UN;6,55;8,9;21/06/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752071;4071;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4441;;;4441;ESMALTE BLANKA COPACABANA;UN;6,55;8,9;25/10/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;64;UNHA;;7898668752804;5015;6,55;2;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4442;;;4442;ESMALTE BLANKA CORAJOSA;UN;6,55;8,9;12/12/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898960634860;4860;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4443;;;4443;ESMALTE BLANKA DAIANE;UN;6,55;8,9;06/10/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;64;UNHA;;7898668752293;4293;6,55;2;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4444;;;4444;ESMALTE BLANKA FELIZ;UN;6,55;8,9;03/02/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898960634112;4112;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4445;;;4445;ESMALTE BLANKA FLORIPA;UN;6,55;8,9;11/11/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;64;UNHA;;7898668750084;4084;6,55;2;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4446;;;4446;ESMALTE BLANKA GABY;UN;6,55;8,9;03/03/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752316;4316;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4447;;;4447;ESMALTE BLANKA GENEROSA;UN;6,55;8,9;25/10/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898960634877;4877;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4448;;;4448;ESMALTE BLANKA GONZAGA;UN;6,55;8,9;25/10/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752866;5017;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4449;;;4449;ESMALTE BLANKA GUARAU;UN;6,55;8,9;20/06/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;64;UNHA;;7898668752835;5019;6,55;2;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4450;;;4450;ESMALTE BLANKA GUARUJA;UN;6,55;8,9;07/12/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668750107;4107;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4451;;;4451;ESMALTE BLANKA GUNGA;UN;6,55;8,9;11/11/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752828;5020;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4452;;;4452;ESMALTE BLANKA IPANEMA;UN;6,55;8,9;02/02/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668750114;4114;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4453;;;4453;ESMALTE BLANKA ISIS;UN;6,55;8,9;08/11/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668751883;7489;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4454;;;4454;ESMALTE BLANKA JOAQUINA;UN;6,55;8,9;10/11/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752859;5021;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4455;;;4455;ESMALTE BLANKA JULIANA;UN;6,55;8,9;09/12/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752057;4057;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4456;;;4456;ESMALTE BLANKA JURERE;UN;6,55;8,9;08/02/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752781;5022;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4457;;;4457;ESMALTE BLANKA LUIZA;UN;6,55;8,9;11/12/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752613;9008;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4458;;;4458;ESMALTE BLANKA NORONHA;UN;6,55;8,9;17/11/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668750091;4091;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4459;;;4459;ESMALTE BLANKA OUSADA;UN;6,55;8,9;20/06/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898960634143;4143;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4460;;;4460;ESMALTE BLANKA PIPA;UN;6,55;8,9;09/03/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752811;5023;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4461;;;4461;ESMALTE BLANKA SANCHO;UN;6,55;8,9;10/03/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668752774;5026;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4462;;;4462;ESMALTE BLANKA SENSUAL;UN;6,55;8,9;10/11/2021;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898960634167;4167;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4463;;;4463;ESMALTE BLANKA UBATUBA;UN;6,55;8,9;31/05/2022;;;55;Reywone Comercio De Perfumaria E Cosmeticos Ltda - Epp;0;Mercadoria para revenda;;;;;;;;7898668750077;4077;6,55;0;0;0;05/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 19353/1
4416;;;4416;ESMALTE GUGA 421 AMOR PERFEITO;UN;1,94;1,99;25/10/2021;;;60;COMERCIAL MEGA EIRELI;0;Mercadoria para revenda;;;;;64;UNHA;;7898633490137;15219;1,94;5;0;0;17/09/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146/1
4417;;;4417;CREME SKALA 12 EM 1 1 KG;UN;5,95;11,99;11/02/2022;;;60;COMERCIAL MEGA EIRELI;0;Mercadoria para revenda;;;;;62;CABELO;;7897042009121;15277;5,95;2;0;0;14/12/2021;0;0;;41;53;6;6;0;0;A;T;33059000;102;0;;;;;;N;;;;;5102;5102;2002100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146/1
4418;;;4418;CREME SKALA CERAMIDAS G3 1 KG;UN;5,95;11,99;02/03/2022;;;60;COMERCIAL MEGA EIRELI;0;Mercadoria para revenda;;;;;;;;7897042004904;15267;5,95;0;0;0;14/12/2021;0;0;;41;53;6;6;0;0;A;P;33059000;102;0;;;;;;N;;;;;5102;5102;2002100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 146/1
4485;;;4485;GLITTER;UN;1,125;0,01;08/10/2021;;;75;RIO MAIS COMERCIO VAREGISTA LTDA;0;Mercadoria para revenda;;;;;;;;;;1,13;0;0;0;04/10/2021;0;;;41;53;99;99;;;A;T;95059000;102;0;;;;;;N;;;;;5102;5102;2805400;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 5717/2
4486;;;4486;ESMALTE EM GEL DeZ GALAXY;UN;1,522;25,9;11/07/2022;;;75;RIO MAIS COMERCIO VAREGISTA LTDA;0;Mercadoria para revenda;;;;;;;;;3870;1,52;0;0;0;04/10/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 5717/2
4487;;;4487;GEL DeZ PLATINUM;UN;40;250;23/11/2021;;;75;RIO MAIS COMERCIO VAREGISTA LTDA;0;Mercadoria para revenda;;;;;;;;;7758258082004;40;0;0;0;04/10/2021;0;;;41;53;99;99;;;A;P;35069900;102;0;;;;;;N;;;;;5102;5102;2806300;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 5717/2
4488;;;4488;0;UN;3,125;0,01;08/03/2022;;;75;RIO MAIS COMERCIO VAREGISTA LTDA;0;Mercadoria para revenda;;;;;;;;;;3,13;0;0;0;04/10/2021;0;;;41;53;99;99;;;A;T;82142000;102;0;;;;;;N;;;;;5102;5102;2805700;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 5717/2
4489;;;4489;ORGANIZADOR ACRILICO GRANDE;UN;15;149,9;09/10/2021;;;75;RIO MAIS COMERCIO VAREGISTA LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;;556461;15;4;0;0;04/10/2021;0;;;41;53;99;99;;;A;T;39269090;102;0;;;;;;N;;;;;5102;5102;2803800;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 5717/2
4490;;;4490;BANDEJA PARA MISTURA GNDG DeZ7967;UN;0,625;8,9;18/01/2023;;;75;RIO MAIS COMERCIO VAREGISTA LTDA;0;Mercadoria para revenda;;;;;63;PELE;;;;0,63;4;0;0;04/10/2021;0;;;41;53;99;99;;;A;T;49089000;102;0;;;;;;N;;;;;5102;5102;2899900;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 5717/2
4491;;;4491;PORTA GLITTER ACRILICO DeZ7953;UN;0,65;25,9;10/11/2021;;;86;LOJA DA VIVI SV LTDA;0;Mercadoria para revenda;;;;;64;UNHA;;;7953;0,65;9;0;0;30/12/2021;0;;;41;53;99;99;;;A;T;39269090;102;0;;;;;;N;;;;;5102;5102;2803800;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 5717/2
4522;;;4522;BORRIFADOR TRIANGULAR POLI 500ML;UN;7,61;12,9;17/02/2022;;;36;DISPOL DISTRIBUIDORA EIRELI - ME;0;Mercadoria para revenda;;;;;62;CABELO;;602883243200;104320;7,61;3;0;0;14/10/2021;0;;;41;53;99;99;;;A;T;84248990;102;0;;;;;;N;;;;;5102;5102;2806100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 1829/1
4502;;;4502;ESMALTE ANITA 494 GRINALDA;UN;5,62;8,9;30/09/2022;;;63;BS COMERCIO ATACADISTA DE COSMETICOS EIRELI;0;Mercadoria para revenda;;;;;64;UNHA;;7908209802483;1542;5,62;4;0;0;08/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 8981/1
4503;;;4503;ESMALTE ANITA 493 EU ACEITO;UN;5,62;8,9;20/12/2022;;;63;BS COMERCIO ATACADISTA DE COSMETICOS EIRELI;0;Mercadoria para revenda;;;;;64;UNHA;;7908209802476;1541;5,62;5;0;0;08/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 8981/1
4568;;;4568;PREP BELTRAT 120ML;UN;20,9;33,9;;;;50;ROGERIO PEREIRA 2;0;Mercadoria para revenda;;;;;64;UNHA;;7898444728146;27679;20,9;0;0;0;19/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 223/1
4504;;;4504;ESMALTE MARCHETTI 303 FICA VAI TER BOLO;UN;3,66;6,9;11/05/2022;;;24;TJ DISTRIBUIDORA DE COSMETICOS;0;Mercadoria para revenda;;;;;64;UNHA;;7896132133449;800439001-303;3,44;7;0;0;17/01/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 25447/1
4419;;;4419;PRIMER PARA CILIOS HELEN COLOR 15 ML;UN;4,8;39;19/02/2022;;;43;CW COMERCIO LTDA;0;Mercadoria para revenda;;;;;;;;;;4,8;1;0;0;09/09/2021;0;;;41;53;99;99;;;A;T;32089039;102;0;;;;;;N;;;;;5102;5102;;999;
4505;;;4505;ESMALTE MARCHETTI 305 CHEGO CHEGANDO;UN;3,66;6,9;09/05/2022;;;24;TJ DISTRIBUIDORA DE COSMETICOS;0;Mercadoria para revenda;;;;;64;UNHA;;7896132133463;800439001-305;3,44;5;0;0;17/01/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 25447/1
4506;;;4506;ESMALTE MARCHETTI 306 DESGRUDA CHICLETE;UN;3,66;6,9;12/01/2022;;;24;TJ DISTRIBUIDORA DE COSMETICOS;0;Mercadoria para revenda;;;;;64;UNHA;;7896132133470;800439001-306;3,45;8;0;0;17/01/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 25447/1
4507;;;4507;ESMALTE MARCHETTI 307 TO PASSADA;UN;3,66;6,9;18/07/2022;;;24;TJ DISTRIBUIDORA DE COSMETICOS;0;Mercadoria para revenda;;;;;64;UNHA;;7896132133487;800439001-307;3,44;6;0;0;17/01/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 25447/1
4508;;;4508;ESMALTE MARCHETTI 308 NEM TE CONTO;UN;3,66;6,9;09/05/2022;;;24;TJ DISTRIBUIDORA DE COSMETICOS;0;Mercadoria para revenda;;;;;64;UNHA;;7896132133494;800439001-308;3,45;6;0;0;17/01/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 25447/1
4509;;;4509;ESMALTE MARCHETTI 309 CAIU NA REDE E PEIXE;UN;3,66;6,9;09/09/2022;;;24;TJ DISTRIBUIDORA DE COSMETICOS;0;Mercadoria para revenda;;;;;;;;7896132133500;800439001-309;3,47;0;0;0;17/01/2022;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2001200;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 25447/1
4523;;;4523;LIXA PARA PE POLI EVA ANATOMICA ESTAMPADA;UN;4,28;7,5;09/05/2022;;;36;DISPOL DISTRIBUIDORA EIRELI - ME;0;Mercadoria para revenda;;;;;64;UNHA;;736532078193;10819;4,28;5;0;0;14/10/2021;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
4569;;;4569;HENNA BELTRAT PRETO;UN;12,9;25,9;22/01/2022;;;50;ROGERIO PEREIRA 2;0;Mercadoria para revenda;;;;;;;;7898444727286;;12,9;0;0;0;19/10/2021;0;0;;41;53;6;6;0;0;A;P;12119090;102;0;;;;;;N;;;;;5102;5102;2000100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 223/1
4524;;;4524;TOUCA POLI METALIZADA FINA 10017;UN;3,8342;6,99;24/08/2023;;;145;DISPOLI COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;751320340177;10017;3,79;17;0;0;09/02/2023;0;;;41;53;99;99;;;A;T;65069900;102;0;;;;;;N;;;;0;5102;5102;2805700;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
4570;;;4570;HENNA BELTRAT MARROM;UN;12,9;25,9;24/12/2021;;;50;ROGERIO PEREIRA 2;0;Mercadoria para revenda;;;;;;;;7898444727279;26877;12,9;0;0;0;19/10/2021;0;0;;41;53;6;6;0;0;A;P;12119090;102;0;;;;;;N;;;;;5102;5102;2000100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 223/1
4511;;;4511;ESMALTE DAILUS COLAR DE PEROLA;UN;5,89;9,99;31/12/2022;;;17;MEDEIROS E SALES COMERCIO DE COSMETICOS;0;Mercadoria para revenda;;;;;64;UNHA;;7894222010373;376;5,89;7;0;0;23/01/2023;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 23111/3
4525;;;4525;TOUCA POLI LUXO METALIZADA ISOMANTA;UN;6,0983;9,99;06/02/2023;;;145;DISPOLI COMERCIO DE COSMETICOS LTDA;0;Mercadoria para revenda;;;;;62;CABELO;;751320340160;10016;6,1;4;0;0;18/10/2022;0;;;41;53;99;99;;;A;T;65069900;102;0;;;;;;N;;;;0;5102;5102;2805700;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 2078/1
4512;;;4512;ESMALTE DAILUS PROBLEMA MEU;UN;5,89;9,99;23/08/2023;;;17;MEDEIROS E SALES COMERCIO DE COSMETICOS;0;Mercadoria para revenda;;;;;64;UNHA;;7894222021188;9253;5,89;3;0;0;11/01/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 23111/3
4513;;;4513;ESMALTE DAILUS BASEADA EM AFETOS REAIS;UN;5,89;9,99;22/01/2022;;;17;MEDEIROS E SALES COMERCIO DE COSMETICOS;0;Mercadoria para revenda;;;;;;;;7894222021201;;5,89;0;0;0;14/10/2021;0;0;;41;53;6;6;0;0;A;P;33043000;102;0;;;;;;N;;;;;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 23111/3
4514;;;4514;ESMALTE DAILUS BASE ZERO BRILHO;UN;5,89;9,99;28/02/2023;;;17;MEDEIROS E SALES COMERCIO DE COSMETICOS;0;Mercadoria para revenda;;;;;64;UNHA;;7894222027487;9411;5,89;7;0;0;25/11/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 23111/3
4515;;;4515;ESMALTE DAILUS BASE NUTRITIVA;UN;9,99;16,99;28/10/2022;;;17;MEDEIROS E SALES COMERCIO DE COSMETICOS;0;Mercadoria para revenda;;;;;64;UNHA;;7894222027517;9783;9,59;5;0;0;23/01/2023;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 23111/3
4516;;;4516;ESMALTE DAILUS BASE DE CRESCIMENTO;UN;9,99;16,99;25/01/2023;;;17;MEDEIROS E SALES COMERCIO DE COSMETICOS;0;Mercadoria para revenda;;;;;64;UNHA;;7894222027531;9781;9,66;7;0;0;25/11/2022;0;0;;41;53;6;6;0;0;A;T;33043000;102;0;;;;;;N;;;;0;5102;5102;2800600;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 23111/3
4571;;;4571;HENNA BELTRAT CASTANHO MEDIO;UN;12,9;25,9;;;;50;ROGERIO PEREIRA 2;0;Mercadoria para revenda;;;;;63;PELE;;7898444727255;26876;12,9;2;0;0;19/10/2021;0;0;;41;53;6;6;0;0;A;T;12119090;102;0;;;;;;N;;;;;5102;5102;2000100;999;Cadastro inclu�do automaticamente, atrav�s de arquivo XML (NFe). Nota fiscal/S�rie: 223/1
